 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30. 1.2024    Time:  16:22:54
 Units: L = cm   , T = days , M = mmol 


 Time:      252.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

  68   -59.5555  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5100E+02  0.0000E+00
  69   -60.6734  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  70   -61.7980  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  71   -62.9293  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  72   -64.0673  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  73   -65.2121  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  74   -66.3636  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  75   -67.5219  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  76   -68.6869  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  77   -69.8586  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  78   -71.0370  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  79   -72.2222  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  80   -73.4141  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  81   -74.6128  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  82   -75.8182  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  83   -77.0303  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  84   -78.2492  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  85   -79.4747  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  86   -80.7071  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  87   -81.9461  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  88   -83.1919  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  89   -84.4444  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  90   -85.7037  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  91   -86.9697  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  92   -88.2424  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  93   -89.5219  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  94   -90.8081  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  95   -92.1010  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  96   -93.4007  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  97   -94.7071  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  98   -96.0202  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
  99   -97.3401  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
 100   -98.6667  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
 101  -100.0000  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.4800E+02  0.0000E+00
end


 Time:      253.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000 -100000.000 0.0840   0.9439E-10  0.6959E-07  0.6134E-03  0.0000E+00      -1   0.568E-04   20.00  0.8489E+02  0.0000E+00
   2    -0.6667  -21379.322 0.0990   0.1031E-07  0.6203E-06  0.3188E-03  0.0000E+00      -1   0.295E-04   20.00  0.8269E+02  0.0000E+00
   3    -1.3401  -19784.869 0.1000   0.1270E-07  0.6835E-06  0.1381E-04  0.0000E+00      -1   0.128E-05   20.00  0.8363E+02  0.0000E+00
   4    -2.0202  -19756.258 0.1000   0.1274E-07  0.6847E-06  0.2574E-06  0.0000E+00      -1   0.238E-07   20.00  0.8398E+02  0.0000E+00
   5    -2.7071  -19755.834 0.1000   0.1274E-07  0.6847E-06 -0.8814E-08  0.0000E+00      -1  -0.816E-09   20.00  0.8400E+02  0.0000E+00
   6    -3.4007  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1273E-07  0.0000E+00      -1  -0.118E-08   20.00  0.8400E+02  0.0000E+00
   7    -4.1010  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.8400E+02  0.0000E+00
