 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30. 1.2024    Time:  16:22:54
 Units: L = cm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

     264.3772 -0.21969E+00  0.00000E+00 -0.21969E+00  0.00000E+00 -0.12745E-07 -0.12316E+01  0.00000E+00 -0.30672E+01  0.00000E+00 -0.15774E-06 -0.56707E+03 -0.71030E+03 -0.19756E+05  0.00000E+00  0.00000E+00  0.13067E+02  0.59686E+01  0.29014E+01    341  0.00000E+00      0.000
     265.0000 -0.21969E+00  0.00000E+00 -0.21969E+00  0.00000E+00 -0.12745E-07 -0.13684E+01  0.00000E+00 -0.32040E+01  0.00000E+00 -0.16568E-06 -0.30310E+03 -0.63857E+03 -0.19756E+05  0.00000E+00  0.00000E+00  0.13204E+02  0.62800E+01  0.30760E+01    350  0.00000E+00      0.000
     266.0000  0.27759E+00  0.00000E+00  0.84781E-01  0.00000E+00 -0.12745E-07 -0.10908E+01  0.00000E+00 -0.29868E+01  0.00000E+00 -0.17842E-06 -0.10000E+06 -0.18908E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12983E+02  0.62800E+01  0.32932E+01    361  0.00000E+00      0.000
     267.0000  0.26008E+00  0.00000E+00  0.47410E-01  0.00000E+00 -0.12745E-07 -0.83074E+00  0.00000E+00 -0.29299E+01  0.00000E+00 -0.19117E-06 -0.10000E+06 -0.19418E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12926E+02  0.62800E+01  0.33501E+01    367  0.00000E+00      0.000
     268.0000  0.27836E+00  0.00000E+00  0.37480E-01  0.00000E+00 -0.12745E-07 -0.55238E+00  0.00000E+00 -0.28905E+01  0.00000E+00 -0.20391E-06 -0.10000E+06 -0.19740E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12887E+02  0.62800E+01  0.33895E+01    370  0.00000E+00      0.000
     269.0000  0.28132E+00  0.00000E+00  0.32259E-01  0.00000E+00 -0.12745E-07 -0.27106E+00  0.00000E+00 -0.28573E+01  0.00000E+00 -0.21666E-06 -0.10000E+06 -0.19995E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12854E+02  0.62800E+01  0.34227E+01    374  0.00000E+00      0.000
     270.0000  0.29371E+00  0.00000E+00  0.27759E-01  0.00000E+00 -0.12745E-07  0.22649E-01  0.00000E+00 -0.28280E+01  0.00000E+00 -0.22940E-06 -0.10000E+06 -0.20241E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12825E+02  0.62800E+01  0.34520E+01    377  0.00000E+00      0.000
     271.0000  0.32204E+00  0.00000E+00  0.25177E-01  0.00000E+00 -0.12745E-07  0.34469E+00  0.00000E+00 -0.28022E+01  0.00000E+00 -0.24215E-06 -0.10000E+06 -0.20491E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12799E+02  0.62800E+01  0.34778E+01    379  0.00000E+00      0.000
     272.0000  0.37236E+00  0.00000E+00  0.23214E-01  0.00000E+00 -0.12745E-07  0.71704E+00  0.00000E+00 -0.27788E+01  0.00000E+00 -0.25489E-06 -0.10000E+06 -0.20726E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12775E+02  0.62800E+01  0.35012E+01    381  0.00000E+00      0.000
     273.0000  0.39601E+00  0.00000E+00  0.21280E-01  0.00000E+00 -0.12745E-07  0.11131E+01  0.00000E+00 -0.27575E+01  0.00000E+00 -0.26763E-06 -0.10000E+06 -0.20931E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12754E+02  0.62800E+01  0.35225E+01    382  0.00000E+00      0.000
     274.0000  0.39808E+00  0.00000E+00  0.20586E-01  0.00000E+00 -0.12745E-07  0.15111E+01  0.00000E+00 -0.27369E+01  0.00000E+00 -0.28038E-06 -0.10000E+06 -0.21144E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12733E+02  0.62800E+01  0.35431E+01    383  0.00000E+00      0.000
     275.0000  0.39712E+00  0.00000E+00  0.19113E-01  0.00000E+00 -0.12745E-07  0.19083E+01  0.00000E+00 -0.27178E+01  0.00000E+00 -0.29312E-06 -0.10000E+06 -0.21350E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12714E+02  0.62800E+01  0.35622E+01    384  0.00000E+00      0.000
     276.0000  0.33098E+00  0.00000E+00  0.17976E-01  0.00000E+00 -0.12745E-07  0.22392E+01  0.00000E+00 -0.26999E+01  0.00000E+00 -0.30587E-06 -0.10000E+06 -0.21547E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12696E+02  0.62800E+01  0.35801E+01    385  0.00000E+00      0.000
     277.0000  0.32068E+00  0.00000E+00  0.17019E-01  0.00000E+00 -0.12745E-07  0.25599E+01  0.00000E+00 -0.26828E+01  0.00000E+00 -0.31861E-06 -0.10000E+06 -0.21743E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12679E+02  0.62800E+01  0.35972E+01    386  0.00000E+00      0.000
     278.0000  0.29673E+00  0.00000E+00  0.15836E-01  0.00000E+00 -0.12745E-07  0.28566E+01  0.00000E+00 -0.26670E+01  0.00000E+00 -0.33136E-06 -0.10000E+06 -0.21928E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12664E+02  0.62800E+01  0.36130E+01    387  0.00000E+00      0.000
     279.0000  0.30475E+00  0.00000E+00  0.15088E-01  0.00000E+00 -0.12745E-07  0.31614E+01  0.00000E+00 -0.26519E+01  0.00000E+00 -0.34410E-06 -0.10000E+06 -0.22110E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12648E+02  0.62800E+01  0.36281E+01    388  0.00000E+00      0.000
     280.0000  0.31214E+00  0.00000E+00  0.13928E-01  0.00000E+00 -0.12745E-07  0.34735E+01  0.00000E+00 -0.26380E+01  0.00000E+00 -0.35685E-06 -0.10000E+06 -0.22258E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12635E+02  0.62800E+01  0.36420E+01    389  0.00000E+00      0.000
     280.0743  0.28323E+00  0.00000E+00  0.14419E-01  0.00000E+00 -0.12745E-07  0.34946E+01  0.00000E+00 -0.26369E+01  0.00000E+00 -0.35779E-06 -0.10000E+06 -0.22278E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12633E+02  0.62815E+01  0.36446E+01    401  0.00000E+00      0.000
     281.0000  0.28323E+00  0.00000E+00  0.13574E-01  0.00000E+00 -0.12745E-07  0.37568E+01  0.00000E+00 -0.26241E+01  0.00000E+00 -0.36959E-06 -0.10000E+06 -0.22451E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12621E+02  0.63000E+01  0.36759E+01    411  0.00000E+00      0.000
     282.0000  0.26420E+00  0.00000E+00  0.13116E-01  0.00000E+00 -0.12745E-07  0.40210E+01  0.00000E+00 -0.26109E+01  0.00000E+00 -0.38234E-06 -0.10000E+06 -0.22629E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12607E+02  0.63000E+01  0.36892E+01    414  0.00000E+00      0.000
     283.0000  0.25298E+00  0.00000E+00  0.12731E-01  0.00000E+00 -0.12745E-07  0.42739E+01  0.00000E+00 -0.25980E+01  0.00000E+00 -0.39508E-06 -0.10000E+06 -0.22804E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12595E+02  0.63000E+01  0.37020E+01    416  0.00000E+00      0.000
end
